,I_weight,H_weight,O_weight
354,3.88,,
355,0.71,,
356,3.85,,
357,1.06,,
358,0.43,,
359,1.74,,
360,2.91,,
361,1.25,,
362,2.42,,
363,2.05,,
364,1.54,,
365,2.31,,
366,1.02,,
367,2.84,,
368,0.01,,
369,3.7,,
370,2.15,,
371,2.88,,
372,2.97,,
373,2.68,,
374,1.46,,
375,0.28,,
376,2.66,,
377,1.32,,
378,1.26,,
379,3.39,,
380,2.88,,
381,1.2,,
382,1.24,,
383,1.63,,
384,1.61,,
385,1.18,,
386,0.51,,
387,1.68,,
388,3.76,,
389,2.71,,
390,3.61,,
391,2.46,,
392,1.2,,
393,2.19,,
394,0.0,,
395,1.15,,
396,1.72,,
397,2.32,,
398,2.62,,
399,1.86,,
400,1.77,,
401,0.85,,
402,1.89,,
403,3.6,,
404,3.18,,
405,0.68,,
406,0.34,,
407,2.06,,
408,2.53,,
409,1.34,,
410,3.27,,
411,3.0,,
412,2.69,,
413,0.9,,
414,0.8,,
415,0.1,,
416,0.98,,
417,1.9,,
418,3.4,,
419,0.29,,
420,1.66,,
421,2.52,,
422,0.78,,
423,2.79,,
424,1.98,,
425,0.98,,
426,2.62,,
427,0.02,,
428,3.0,,
429,3.08,,
430,0.43,,
431,1.7,,
432,0.7,,
433,3.83,,
434,2.07,,
435,0.2,,
436,1.0,,
437,3.39,,
438,1.83,,
439,3.21,,
440,2.67,,
441,3.95,,
442,2.38,,
443,3.8,,
444,3.57,,
445,2.45,,
446,2.88,,
447,2.02,,
448,3.32,,
449,2.19,,
450,3.59,,
451,2.97,,
452,1.9,,
453,1.04,,
454,0.99,,
455,2.55,,
456,3.06,,
457,2.09,,
458,2.51,,
459,1.1,,
460,0.31,,
461,1.14,,
462,1.09,,
463,1.28,,
464,2.16,,
465,0.55,,
466,0.93,,
467,2.78,,
468,2.83,,
469,0.26,,
470,1.63,,
471,2.17,,
472,1.66,,
473,0.83,,
474,1.68,,
475,3.62,,
476,2.34,,
477,2.78,,
478,3.43,,
479,3.06,,
480,1.52,,
481,0.02,,
482,1.41,,
483,3.01,,
484,3.41,,
485,3.81,,
486,1.68,,
487,2.99,,
488,2.18,,
489,2.41,,
490,0.88,,
491,0.88,,
492,1.74,,
493,0.12,,
494,1.34,,
495,2.72,,
496,1.62,,
497,0.66,,
498,1.87,,
499,0.51,,
500,2.49,,
501,0.11,,
502,1.58,,
503,2.26,,
504,0.11,,
505,2.57,,
506,0.54,,
507,1.85,,
508,0.2,,
509,1.52,,
510,0.85,,
511,1.31,,
512,3.04,,
513,1.52,,
514,3.01,,
515,3.33,,
516,1.01,,
517,0.33,,
518,0.08,,
519,2.16,,
520,4.0,,
521,1.4,,
522,2.6,,
523,3.12,,
524,2.61,,
525,3.02,,
526,3.8,,
527,0.8,,
528,0.08,,
529,0.61,,
530,0.5,,
531,2.68,,
532,2.26,,
533,0.87,,
534,2.8,,
535,3.07,,
536,0.67,,
537,2.43,,
538,2.99,,
539,0.46,,
540,3.28,,
541,3.86,,
542,0.43,,
543,0.1,,
544,1.25,,
545,2.71,,
546,3.83,,
547,1.59,,
548,2.86,,
549,0.3,,
550,2.76,,
551,2.51,,
552,0.41,,
553,3.09,,
554,3.4,,
555,2.4,,
556,0.48,,
557,3.94,,
558,3.13,,
559,1.39,,
560,1.71,,
561,1.48,,
562,2.02,,
563,1.36,,
564,3.4,,
565,3.29,,
566,0.42,,
567,3.84,,
568,2.54,,
569,3.31,,
570,2.83,,
571,1.74,,
572,2.94,,
573,3.86,,
574,1.08,,
575,3.23,,
576,2.15,,
577,1.93,,
578,1.74,,
579,2.92,,
580,1.07,,
581,3.41,,
582,3.32,,
583,0.35,,
584,3.53,,
585,0.98,,
586,1.86,,
587,2.44,,
588,1.52,,
589,0.11,,
590,3.4,,
591,0.73,,
592,0.85,,
593,3.19,,
594,1.36,,
595,3.52,,
596,2.8,,
597,1.11,,
598,0.04,,
599,3.79,,
600,0.34,,
601,2.88,,
602,1.95,,
603,3.03,,
604,2.76,,
605,2.58,,
606,1.96,,
607,3.17,,
608,0.37,,
609,0.89,,
610,2.77,,
611,1.22,,
612,2.33,,
613,1.89,,
614,2.12,,
615,1.7,,
616,2.98,,
617,1.32,,
618,2.81,,
619,1.08,,
620,1.01,,
621,0.48,,
622,0.77,,
623,0.48,,
624,2.14,,
625,3.05,,
626,0.74,,
627,0.87,,
628,1.94,,
629,2.9,,
630,3.91,,
631,2.1,,
632,1.13,,
633,0.4,,
634,0.78,,
635,0.91,,
636,0.72,,
637,0.06,,
638,2.14,,
639,1.1,,
640,3.9,,
641,2.21,,
642,2.79,,
643,0.51,,
644,3.47,,
645,1.96,,
646,3.49,,
647,2.3,,
648,1.88,,
649,1.76,,
650,0.74,,
651,0.21,,
652,3.76,,
653,1.91,,
654,3.29,,
655,1.6,,
656,0.3,,
657,2.52,,
658,0.21,,
659,0.6,,
660,2.25,,
661,1.22,,
662,3.98,,
663,0.47,,
664,3.06,,
665,2.43,,
666,3.16,,
667,0.9,,
668,2.09,,
669,1.8,,
670,1.77,,
671,3.44,,
672,3.96,,
673,1.22,,
674,2.48,,
675,2.44,,
676,2.96,,
677,3.79,,
678,0.83,,
679,0.84,,
680,2.64,,
681,0.63,,
682,0.7,,
683,0.3,,
684,0.01,,
685,1.8,,
686,2.38,,
687,1.17,,
688,0.93,,
689,2.83,,
690,2.81,,
691,1.82,,
692,2.75,,
693,3.7,,
694,3.15,,
695,2.5,,
696,2.64,,
697,3.73,,
698,1.7,,
699,2.18,,
700,2.59,,
701,3.63,,
702,3.31,,
703,0.29,,
704,0.66,,
705,1.23,,
706,3.0,,
707,2.28,,
708,1.15,,
709,0.5,,
710,2.75,,
711,2.8,,
712,3.77,,
713,2.0,,
714,1.98,,
715,0.32,,
716,0.16,,
717,1.73,,
718,1.29,,
719,1.0,,
720,0.37,,
721,3.85,,
722,3.34,,
723,2.3,,
724,3.8,,
725,4.0,,
726,2.69,,
727,1.08,,
728,0.16,,
729,3.03,,
730,1.88,,
731,2.61,,
732,3.66,,
733,0.73,,
734,2.34,,
735,2.54,,
736,1.97,,
737,0.36,,
738,1.39,,
739,1.33,,
740,2.68,,
741,3.43,,
742,1.32,,
743,2.77,,
744,1.15,,
745,3.78,,
746,3.25,,
747,2.2,,
748,1.82,,
749,1.26,,
750,1.29,,
751,3.88,,
752,1.62,,
753,2.06,,
754,3.95,,
755,2.63,,
756,2.17,,
757,1.65,,
758,0.75,,
759,1.45,,
760,3.03,,
761,2.5,,
762,3.04,,
763,0.81,,
764,2.2,,
765,3.71,,
766,1.75,,
767,2.79,,
768,0.49,,
769,3.89,,
770,2.44,,
771,0.96,,
772,0.63,,
773,2.2,,
774,2.21,,
775,0.37,,
776,3.97,,
777,3.65,,
778,1.85,,
779,0.47,,
780,3.33,,
781,1.99,,
782,2.87,,
783,2.04,,
784,1.09,,
785,3.34,,
786,3.92,,
787,0.97,,
788,2.21,,
789,1.53,,
790,3.69,,
791,2.03,,
792,3.52,,
793,3.46,,
794,1.1,,
795,3.16,,
796,1.66,,
797,3.74,,
798,2.03,,
799,3.28,,
800,1.13,,
801,1.19,,
802,2.35,,
803,4.0,,
804,1.96,,
805,0.59,,
806,2.15,,
807,1.38,,
808,2.21,,
809,2.17,,
810,1.82,,
811,1.29,,
812,0.75,,
813,2.79,,
814,2.29,,
815,0.93,,
816,3.1,,
817,0.17,,
818,2.98,,
819,2.82,,
820,3.25,,
821,1.54,,
822,2.65,,
823,3.28,,
824,3.92,,
825,1.98,,
826,0.15,,
827,2.01,,
828,2.36,,
829,3.48,,
830,3.5,,
831,1.76,,
832,2.1,,
833,1.83,,
834,2.89,,
835,1.64,,
836,2.62,,
837,0.62,,
838,1.88,,
839,3.88,,
840,1.35,,
841,2.77,,
842,2.6,,
843,3.41,,
844,3.41,,
845,3.44,,
846,1.52,,
847,1.27,,
848,2.87,,
849,3.04,,
850,3.49,,
851,0.14,,
852,0.27,,
853,2.52,,
854,3.68,,
855,3.99,,
856,2.99,,
857,1.74,,
858,0.39,,
859,2.53,,
860,3.49,,
861,1.77,,
862,2.78,,
863,3.61,,
864,0.18,,
865,3.18,,
866,1.17,,
867,1.5,,
868,0.58,,
869,2.12,,
870,2.26,,
871,3.17,,
872,0.68,,
873,0.32,,
874,3.48,,
875,2.48,,
876,0.96,,
877,3.65,,
878,0.57,,
879,1.84,,
880,1.02,,
881,1.02,,
882,0.04,,
883,3.22,,
884,3.6,,
885,2.71,,
886,0.63,,
887,1.77,,
888,1.38,,
889,2.35,,
890,2.56,,
891,1.7,,
892,1.0,,
893,3.38,,
894,0.8,,
895,1.54,,
896,1.93,,
897,0.95,,
898,2.29,,
899,2.3,,
900,3.97,,
901,1.18,,
902,3.91,,
903,2.63,,
904,1.1,,
905,2.26,,
906,2.74,,
907,2.98,,
908,0.2,,
909,2.43,,
910,1.99,,
911,3.62,,
912,1.14,,
913,3.2,,
914,2.43,,
915,1.41,,
916,2.55,,
917,2.48,,
918,2.71,,
919,2.88,,
920,2.64,,
921,3.35,,
922,2.51,,
923,3.61,,
924,2.59,,
925,1.24,,
926,1.76,,
927,2.32,,
928,2.93,,
929,0.36,,
930,1.18,,
931,2.99,,
932,0.7,,
933,0.53,,
934,2.16,,
935,3.89,,
936,2.12,,
937,3.65,,
938,3.32,,
939,1.03,,
940,3.3,,
941,1.93,,
942,3.23,,
943,2.99,,
944,1.35,,
945,0.46,,
946,3.85,,
947,0.56,,
948,3.87,,
949,3.44,,
950,2.9,,
951,3.92,,
952,3.87,,
953,3.22,,
954,1.46,,
955,3.16,,
956,0.06,,
957,2.15,,
958,1.82,,
959,2.69,,
960,2.69,,
961,2.34,,
962,3.29,,
963,3.76,,
964,0.43,,
965,0.94,,
966,0.1,,
967,3.54,,
968,2.25,,
969,3.66,,
970,0.89,,
971,0.25,,
972,3.3,,
973,3.64,,
974,1.21,,
975,1.63,,
976,0.56,,
977,3.79,,
978,1.22,,
979,1.97,,
980,0.39,,
981,3.55,,
982,0.54,,
983,1.81,,
984,2.68,,
985,2.97,,
986,3.78,,
987,1.68,,
988,2.97,,
989,0.62,,
990,1.66,,
991,0.4,,
992,1.96,,
993,1.63,,
994,3.81,,
995,0.13,,
996,1.48,,
997,1.77,,
998,3.8,,
999,3.42,,
1000,0.4,,
1001,2.74,,
1002,2.18,,
1003,3.91,,
1004,1.43,,
1005,1.59,,
1006,0.76,,
1007,0.49,,
1008,3.39,,
1009,1.82,,
1010,2.65,,
1011,2.57,,
1012,2.39,,
1013,0.09,,
1014,3.15,,
1015,0.97,,
1016,0.5,,
1017,2.26,,
1018,0.27,,
1019,3.06,,
1020,0.83,,
1021,0.86,,
1022,3.48,,
1023,1.31,,
1024,0.59,,
1025,3.6,,
1026,0.01,,
1027,3.43,,
1028,0.58,,
1029,0.52,,
1030,1.0,,
1031,0.7,,
1032,2.64,,
1033,0.1,,
1034,0.06,,
1035,3.16,,
1036,0.95,,
1037,1.3,,
1038,0.7,,
1039,0.21,,
1040,2.97,,
1041,2.1,,
1042,2.98,,
1043,1.9,,
1044,3.11,,
1045,2.05,,
1046,0.44,,
1047,2.02,,
1048,3.78,,
1049,0.17,,
1050,3.13,,
1051,3.47,,
1052,2.09,,
1053,1.83,,
1054,3.86,,
1055,0.24,,
1056,1.92,,
1057,1.61,,
1058,2.74,,
1059,1.96,,
1060,3.64,,
1061,0.29,,
1062,0.32,,
1063,2.43,,
1064,0.26,,
1065,1.1,,
1066,2.53,,
1067,2.19,,
1068,1.3,,
1069,3.98,,
1070,2.12,,
1071,1.81,,
1072,2.42,,
1073,0.4,,
1074,2.81,,
1075,3.41,,
1076,2.6,,
1077,3.08,,
1078,2.88,,
1079,0.86,,
1080,1.81,,
1081,0.91,,
1082,1.36,,
1083,1.81,,
1084,1.66,,
1085,0.38,,
1086,1.71,,
1087,2.66,,
1088,1.5,,
1089,0.61,,
1090,3.69,,
1091,0.27,,
1092,3.33,,
1093,0.37,,
1094,0.39,,
1095,2.96,,
1096,3.25,,
1097,2.23,,
1098,2.35,,
1099,2.25,,
1100,1.32,,
1101,0.49,,
1102,1.41,,
1103,2.66,,
1104,3.0,,
1105,3.47,,
1106,2.88,,
1107,3.87,,
1108,2.4,,
1109,1.41,,
1110,2.31,,
1111,0.85,,
1112,2.63,,
1113,0.9,,
1114,0.43,,
1115,3.38,,
1116,1.47,,
1117,3.05,,
1118,2.3,,
1119,3.23,,
1120,3.38,,
1121,3.9,,
1122,3.27,,
1123,2.45,,
1124,2.57,,
1125,0.11,,
1126,3.72,,
1127,3.32,,
1128,1.07,,
1129,0.72,,
1130,2.81,,
1131,1.24,,
1132,1.36,,
1133,0.02,,
1134,3.48,,
1135,2.27,,
1136,1.6,,
1137,0.57,,
1138,2.53,,
1139,0.12,,
1140,2.98,,
1141,0.86,,
1142,1.68,,
1143,1.36,,
1144,1.48,,
1145,2.89,,
1146,3.11,,
1147,2.27,,
1148,0.34,,
1149,0.21,,
1150,0.63,,
1151,2.47,,
1152,2.7,,
1153,1.09,,
1154,2.65,,
1155,1.94,,
1156,1.77,,
1157,1.09,,
1158,3.02,,
1159,0.46,,
1160,1.72,,
1161,1.13,,
1162,2.71,,
1163,1.95,,
1164,2.67,,
1165,0.18,,
1166,1.58,,
1167,2.4,,
1168,0.03,,
1169,1.21,,
1170,0.84,,
1171,0.55,,
1172,1.02,,
1173,1.31,,
1174,0.03,,
1175,2.99,,
1176,0.7,,
1177,1.52,,
1178,2.81,,
1179,2.0,,
1180,3.33,,
1181,3.22,,
1182,0.29,,
1183,3.45,,
1184,0.17,,
1185,0.07,,
1186,3.68,,
1187,3.45,,
1188,2.3,,
1189,2.29,,
1190,2.84,,
1191,1.67,,
1192,0.46,,
1193,0.08,,
1194,1.3,,
1195,3.21,,
1196,2.47,,
1197,3.33,,
1198,3.68,,
1199,0.35,,
1200,3.38,,
1201,0.97,,
1202,2.36,,
1203,2.1,,
1204,1.58,,
1205,1.24,,
1206,1.36,,
1207,1.33,,
1208,0.67,,
1209,2.04,,
1210,0.46,,
1211,2.04,,
1212,3.62,,
1213,1.4,,
1214,2.91,,
1215,3.28,,
1216,3.26,,
1217,0.95,,
1218,0.59,,
1219,0.79,,
1220,2.41,,
1221,3.04,,
1222,2.62,,
1223,0.71,,
1224,3.09,,
1225,1.98,,
1226,3.02,,
1227,3.04,,
1228,1.8,,
1229,3.7,,
1230,2.26,,
1231,2.54,,
1232,2.5,,
1233,3.46,,
1234,2.51,,
1235,0.6,,
1236,0.27,,
1237,1.77,,
1238,1.21,,
1239,1.1,,
1240,0.22,,
1241,2.03,,
1242,1.24,,
1243,1.81,,
1244,0.23,,
1245,3.33,,
1246,0.31,,
1247,3.46,,
1248,3.42,,
1249,2.46,,
1250,2.03,,
1251,1.85,,
1252,2.22,,
1253,3.17,,
1254,3.58,,
1255,1.8,,
1256,3.24,,
1257,2.61,,
1258,1.29,,
1259,1.9,,
1260,0.6,,
1261,0.25,,
1262,0.41,,
1263,3.6,,
1264,1.37,,
1265,2.86,,
1266,2.02,,
1267,0.69,,
1268,0.99,,
1269,1.75,,
1270,1.76,,
1271,2.09,,
1272,0.63,,
1273,1.49,,
1274,1.13,,
1275,1.64,,
1276,1.35,,
1277,2.39,,
1278,3.16,,
1279,2.59,,
1280,0.26,,
1281,0.38,,
1282,2.71,,
1283,1.14,,
1284,2.89,,
1285,2.63,,
1286,3.63,,
1287,3.49,,
1288,1.33,,
1289,2.33,,
1290,0.57,,
1291,1.4,,
1292,3.87,,
1293,2.79,,
1294,1.57,,
1295,2.38,,
1296,3.75,,
1297,1.24,,
1298,1.51,,
1299,3.17,,
1300,3.25,,
1301,2.68,,
1302,3.32,,
1303,2.96,,
1304,2.74,,
1305,2.11,,
1306,2.58,,
1307,1.69,,
1308,1.45,,
1309,1.45,,
1310,0.72,,
1311,0.86,,
1312,3.79,,
1313,1.95,,
1314,0.91,,
1315,0.55,,
1316,0.31,,
1317,3.38,,
1318,0.4,,
1319,3.08,,
1320,3.34,,
1321,3.53,,
1322,0.15,,
1323,1.35,,
1324,3.07,,
1325,0.52,,
1326,1.51,,
1327,0.65,,
1328,3.33,,
1329,3.08,,
1330,3.24,,
1331,0.66,,
1332,1.75,,
1333,1.64,,
1334,2.71,,
1335,0.95,,
1336,1.78,,
1337,1.14,,
1338,2.99,,
1339,1.8,,
1340,2.14,,
1341,1.24,,
1342,3.23,,
1343,1.88,,
1344,3.34,,
1345,1.47,,
1346,3.79,,
1347,3.94,,
1348,1.85,,
1349,1.13,,
1350,1.53,,
1351,2.11,,
1352,3.87,,
1353,3.27,,
1354,3.21,,
1355,0.55,,
1356,1.0,,
1357,2.56,,
1358,3.5,,
1359,2.22,,
1360,0.41,,
1361,3.38,,
1362,3.4,,
1363,1.14,,
1364,3.05,,
1365,1.09,,
1366,3.62,,
1367,0.59,,
1368,1.75,,
1369,3.79,,
1370,0.89,,
1371,1.8,,
1372,1.4,,
1373,0.11,,
1374,0.21,,
1375,2.01,,
1376,0.94,,
1377,3.98,,
1378,1.5,,
1379,0.11,,
1380,3.72,,
1381,3.36,,
1382,2.6,,
1383,3.17,,
1384,0.55,,
1385,1.15,,
1386,3.32,,
1387,2.78,,
1388,0.56,,
1389,2.82,,
1390,1.79,,
1391,0.02,,
1392,0.32,,
1393,1.02,,
1394,3.34,,
1395,2.2,,
1396,2.91,,
1397,2.11,,
1398,0.44,,
1399,1.15,,
1400,1.2,,
1401,0.19,,
1402,1.68,,
1403,3.18,,
1404,1.83,,
1405,0.44,,
1406,3.62,,
1407,2.39,,
1408,0.07,,
1409,2.06,,
1410,0.97,,
1411,0.57,,
1412,1.72,,
1413,2.46,,
1414,0.96,,
1415,1.67,,
1416,2.66,,
1417,0.34,,
1418,3.9,,
1419,0.27,,
1420,2.1,,
1421,2.03,,
1422,3.95,,
1423,2.22,,
1424,1.56,,
1425,1.88,,
1426,2.54,,
1427,3.92,,
1428,1.01,,
1429,0.06,,
1430,3.15,,
1431,1.38,,
1432,2.93,,
1433,2.51,,
1434,3.09,,
1435,2.94,,
1436,1.33,,
1437,0.18,,
1438,2.18,,
1439,3.25,,
1440,0.7,,
1441,3.12,,
1442,1.86,,
1443,2.78,,
1444,2.53,,
1445,3.25,,
1446,0.25,,
1447,3.1,,
1448,1.83,,
1449,1.17,,
1450,0.18,,
1451,0.8,,
1452,0.17,,
1453,3.73,,
1454,2.06,,
1455,3.96,,
1456,2.17,,
1457,1.01,,
1458,3.01,,
1459,0.76,,
1460,1.43,,
1461,3.12,,
1462,3.46,,
1463,1.33,,
1464,0.5,,
1465,1.47,,
1466,3.56,,
1467,2.97,,
1468,3.58,,
1469,1.55,,
1470,3.89,,
1471,1.98,,
1472,1.99,,
1473,3.7,,
1474,2.08,,
1475,3.2,,
1476,2.91,,
1477,0.32,,
1478,2.41,,
1479,3.29,,
1480,2.18,,
1481,1.28,,
1482,0.32,,
1483,2.64,,
1484,1.23,,
1485,2.41,,
1486,1.7,,
1487,2.76,,
1488,1.41,,
1489,0.17,,
1490,3.48,,
1491,1.41,,
1492,3.99,,
1493,1.1,,
1494,3.92,,
1495,3.79,,
1496,0.3,,
1497,2.55,,
1498,1.45,,
1499,3.2,,
1500,2.72,,
1501,3.81,,
1502,0.57,,
1503,2.43,,
1504,3.13,,
1505,0.14,,
1506,0.27,,
1507,3.11,,
1508,1.47,,
1509,1.53,,
1510,2.27,,
1511,2.42,,
1512,2.72,,
1513,3.8,,
1514,1.49,,
1515,3.05,,
1516,2.3,,
1517,2.12,,
1518,1.59,,
1519,2.6,,
1520,1.0,,
1521,0.45,,
1522,2.94,,
1523,2.0,,
1524,1.55,,
1525,2.25,,
1526,1.05,,
1527,1.04,,
1528,1.79,,
1529,3.99,,
1530,1.14,,
1531,3.67,,
1532,1.96,,
1533,0.49,,
1534,3.41,,
1535,1.81,,
1536,3.59,,
1537,1.78,,
1538,0.35,,
1539,2.73,,
1540,3.38,,
1541,1.28,,
1542,1.39,,
1543,0.26,,
1544,2.17,,
1545,3.57,,
1546,3.41,,
1547,2.85,,
1548,3.71,,
1549,2.55,,
1550,3.17,,
1551,2.04,,
1552,0.49,,
1553,0.8,,
1554,0.56,,
1555,3.16,,
1556,0.11,,
1557,2.22,,
1558,1.48,,
1559,3.21,,
1560,2.21,,
1561,2.45,,
1562,0.34,,
1563,1.24,,
1564,4.0,,
1565,2.88,,
1566,2.1,,
1567,3.08,,
1568,3.29,,
1569,0.3,,
1570,3.89,,
1571,2.57,,
1572,1.8,,
1573,2.72,,
1574,1.38,,
1575,3.51,,
1576,3.12,,
1577,2.56,,
1578,0.73,,
1579,3.87,,
1580,1.73,,
1581,3.64,,
1582,0.22,,
1583,0.5,,
1584,0.61,,
1585,0.66,,
1586,1.29,,
1587,2.84,,
1588,1.38,,
1589,3.76,,
1590,3.58,,
1591,3.38,,
1592,1.0,,
1593,2.54,,
1594,2.2,,
1595,0.5,,
1596,1.21,,
1597,2.13,,
1598,2.01,,
1599,0.67,,
1600,3.77,,
1601,0.62,,
1602,2.63,,
1603,2.88,,
1604,2.42,,
1605,3.37,,
1606,2.25,,
1607,3.3,,
1608,0.11,,
1609,0.18,,
1610,2.57,,
1611,2.31,,
1612,2.6,,
1613,3.07,,
1614,1.67,,
1615,2.56,,
1616,1.99,,
1617,2.51,,
1618,1.16,,
1619,3.83,,
1620,1.93,,
1621,3.22,,
1622,2.74,,
1623,1.19,,
1624,0.29,,
1625,0.24,,
1626,1.76,,
1627,1.94,,
1628,0.82,,
1629,2.43,,
1630,1.25,,
1631,2.87,,
1632,2.94,,
1633,3.44,,
1634,3.9,,
1635,0.52,,
1636,1.48,,
1637,2.25,,
1638,1.28,,
1639,1.87,,
1640,1.07,,
1641,0.99,,
1642,0.39,,
1643,1.16,,
1644,1.54,,
1645,2.46,,
1646,0.99,,
1647,3.46,,
1648,0.64,,
1649,1.31,,
1650,2.31,,
1651,1.25,,
1652,3.05,,
1653,1.99,,
1654,2.06,,
1655,2.0,,
1656,1.23,,
1657,0.09,,
1658,3.78,,
1659,2.02,,
1660,3.87,,
1661,0.86,,
1662,1.41,,
